keyGenAES(128),keyGenAES(192),keyGenAES(256)
0.0038338000000000053,0.004950000000000003,0.0052048000000000025
0.0026469000000000006,0.0027475,0.0021163999999999974
0.0018386999999999987,0.002803199999999992,0.0021991999999999984
0.002244099999999999,0.0021011000000000085,0.002238000000000004
0.0022143000000000024,0.0019891000000000075,0.0036209000000000102
0.003473000000000004,0.002528500000000003,0.003826200000000002
0.0028973000000000054,0.0027703999999999923,0.002836099999999994
0.002481299999999992,0.0020234000000000085,0.0019721999999999934
0.001947400000000002,0.0036033999999999927,0.003305500000000003
0.0019588999999999995,0.0027299000000000073,0.0023079000000000016
0.0024453000000000114,0.002190300000000006,0.0027072000000000207
0.002275300000000008,0.0021758000000000055,0.0032168999999999948
0.002468900000000024,0.0035388999999999837,0.0021916000000000158
0.002243099999999998,0.002066299999999993,0.0020034000000000163
0.0037347999999999826,0.00390879999999999,0.004826200000000003
0.0025301999999999825,0.0025256000000000167,0.002140900000000001
0.0025735000000000063,0.003568800000000011,0.002859399999999984
0.0023735000000000006,0.002559400000000017,0.0020292000000000088
0.001968400000000009,0.0027389000000000163,0.0022400000000000198
0.0023424999999999974,0.002822099999999994,0.002489199999999997
0.002813199999999988,0.0021287999999999863,0.002616300000000016
0.002077699999999988,0.0021966000000000208,0.002305599999999991
0.0024533999999999945,0.0030537999999999954,0.0020913999999999933
0.0017886999999999764,0.0021453999999999918,0.0026511000000000173
0.0019494999999999651,0.00373119999999999,0.003627199999999997
0.0033914999999999917,0.0032724000000000086,0.0028521999999999714
0.0017409999999999926,0.0023795999999999817,0.0022495999999999627
0.003450799999999976,0.002060699999999971,0.002251100000000006
0.003054000000000001,0.002598199999999995,0.001963000000000048
0.0020789999999999975,0.0026250999999999913,0.0029576000000000047
0.001749099999999948,0.002794099999999966,0.002353700000000014
0.001718300000000006,0.0019297999999999815,0.002143299999999959
0.0023076000000000207,0.002384300000000006,0.0026092000000000337
0.0025543000000000093,0.0023055999999999632,0.0020012999999999836
0.002253900000000031,0.0021131999999999818,0.0026144000000000167
0.0018752000000000213,0.0027218999999999993,0.0031597999999999904
0.004174700000000031,0.004605999999999999,0.0030544000000000127
0.00174669999999999,0.0020064000000000193,0.002535699999999974
0.002842000000000011,0.0027657000000000376,0.005277099999999979
0.0031252999999999975,0.002893900000000005,0.0029965999999999604
0.0020022000000000095,0.002327899999999994,0.002749200000000007
0.0027651000000000203,0.002553699999999992,0.002644599999999997
0.002198499999999992,0.002676899999999982,0.0022614000000000245
0.0024360999999999966,0.002685099999999996,0.002233900000000011
0.0022221000000000046,0.004540500000000003,0.0023244000000000042
0.002166200000000007,0.0022106999999999544,0.002582799999999996
0.002057299999999984,0.002034900000000006,0.004313700000000031
0.0033009999999999984,0.0024202999999999864,0.0026773999999999964
0.002185300000000001,0.0023050000000000015,0.002633200000000002
0.0024283999999999972,0.0025454999999999783,0.0021113999999999855
0.0018819999999999948,0.0020851000000000064,0.003041600000000033
0.002065299999999992,0.0029963000000000073,0.0025075999999999987
