EncryptDecryptRSA(1024),EncryptDecryptRSA(2048),EncryptDecryptRSA(3072)
0.00079429999999997,0.0008710000000000107,0.000760700000000003
0.0004195000000000171,0.0004464999999999608,0.0004416999999999893
0.00041949999999996157,0.00045400000000000995,0.0009647999999999879
0.0012664000000000009,0.0003655000000000186,0.0003646999999999956
0.0003713999999999662,0.0003650000000000042,0.00036449999999998983
0.00038199999999999346,0.00036970000000002834,0.00036479999999999846
0.0003848999999999658,0.0008076000000000194,0.0007725000000000093
0.00042170000000002483,0.0003658000000000272,0.0003645999999999927
0.0006200000000000094,0.000915900000000025,0.0009181999999999801
0.0009349000000000163,0.0007133000000000278,0.0010157000000000083
0.0009180000000000299,0.0007090000000000152,0.0003646999999999956
0.00091870000000005,0.0005993999999999722,0.0004105999999999832
0.0009431999999999774,0.0009516999999999998,0.0011834000000000011
0.0003646999999999956,0.0003679000000000321,0.0003789999999999627
0.0003858999999999946,0.00039369999999999683,0.00039000000000000146
0.0003646999999999956,0.0014939999999999953,0.0003902000000000072
0.00036449999999998983,0.0003754999999999731,0.0003646999999999956
0.00036449999999998983,0.0003814999999999791,0.0003791000000000211
0.0007170000000000232,0.00048589999999998357,0.0003646999999999956
0.00036479999999999846,0.0003654000000000157,0.0003679000000000321
0.0010228999999999933,0.0003870000000000262,0.0004146999999999901
0.0003681999999999852,0.0003650000000000042,0.000502400000000014
0.0007771000000000305,0.0010338000000000291,0.0010922000000000431
0.0011711999999999834,0.0003886000000000167,0.0005753000000000008
0.0003645999999999927,0.00036520000000000996,0.0003645999999999927
0.0004400999999999988,0.0007292999999999883,0.0005614999999999926
0.00037449999999999983,0.00036520000000000996,0.0008639000000000285
0.00036490000000000133,0.00081429999999999,0.00036479999999999846
0.0003646000000000482,0.0003766000000000047,0.00036479999999999846
0.0014545000000000252,0.0006325999999999832,0.0009205999999999936
0.0009696000000000149,0.0005240999999999718,0.00036479999999999846
0.0003979000000000066,0.00039959999999999996,0.00043080000000000895
0.000702299999999989,0.0009461000000000053,0.0003998000000000057
0.0005408999999999553,0.0009638000000000146,0.00045439999999996594
0.00036799999999997945,0.00036520000000000996,0.0004898999999999876
0.00036490000000000133,0.0006520999999999888,0.000931100000000018
0.000987600000000033,0.0009213000000000138,0.0008873999999999826
0.0003722999999999921,0.00036530000000001284,0.0003948999999999758
0.00041879999999999695,0.00038240000000000496,0.00037930000000002684
0.0010758000000000156,0.0010359999999999814,0.00036479999999999846
0.00038359999999998395,0.00042930000000002133,0.0008584000000000369
0.0006237999999999522,0.0006271999999999944,0.0004975000000000396
0.0004733000000000098,0.00039569999999999883,0.0003645999999999927
0.0008552000000000004,0.00036560000000002146,0.000858300000000034
0.0003645999999999927,0.00039730000000004484,0.0003824999999999523
0.0003742000000000467,0.00036530000000001284,0.0003646999999999956
0.0003857999999999917,0.0012949999999999906,0.00036490000000000133
0.0004890999999999646,0.0007623999999999964,0.0005243999999999804
0.00036479999999999846,0.00039169999999999483,0.00036479999999999846
0.0013193000000000232,0.0003658000000000272,0.0004025999999999752
0.0003679000000000321,0.0003650000000000042,0.0004516999999999993
0.0009112000000000009,0.00036569999999996883,0.0003877999999999937
0.0004170000000000007,0.00036519999999995445,0.0013737000000000332
0.00036480000000005397,0.0003751000000000171,0.0003645999999999927
0.00038569999999998883,0.0003875000000000406,0.0008039999999999714
0.0003646999999999956,0.0003838999999999926,0.00037399999999998546
0.0008290000000000242,0.0003654000000000157,0.0003875000000000406
0.0003650000000000042,0.00036880000000000246,0.00038640000000000896
0.00036479999999999846,0.0010860999999999787,0.0009371999999999714
0.0007493999999999557,0.0009624000000000299,0.0011292999999999997
0.0004039000000000126,0.00036520000000000996,0.00036809999999998233
0.0003678999999999766,0.0006516999999999773,0.00036479999999999846
0.0003646999999999956,0.0003877999999999937,0.0005293000000000103
0.0007222999999999535,0.0011796000000000029,0.0005620000000000069
0.0004986000000000157,0.0005959000000000381,0.0003646999999999956
0.00036479999999999846,0.0003651000000000071,0.0007265000000000188
0.00041389999999996707,0.0003691000000000111,0.0003889999999999727
0.0003645999999999927,0.0009145000000000403,0.00036490000000000133
0.0009163000000000365,0.0003655000000000186,0.00036530000000001284
0.00036770000000002634,0.0011440999999999812,0.0015943999999999958
0.0013051000000000035,0.0013008999999999937,0.001385100000000028
0.0011765000000000247,0.00036530000000001284,0.0010055999999999954
0.00036490000000000133,0.0004524999999999668,0.0003646999999999956
0.0006150999999999796,0.0007354000000000527,0.00039200000000005897
0.0005296000000000189,0.0004389999999999672,0.0009938000000000446
0.0005926000000000542,0.0004302000000000472,0.00036479999999994295
0.0009243999999999364,0.0009217000000000253,0.0009516999999999998
0.0009247000000000005,0.0004613999999999452,0.0007357000000000058
0.0011577000000000393,0.00037880000000001246,0.0010696999999999512
0.0009228000000000014,0.0009706000000000437,0.0010002000000000066
0.0010430000000000161,0.0008369999999999767,0.0003646000000000482
